Date,Description,Amount
2024-11-01,DIRECT DEPOSIT PAYROLL ACME CORP,2850.00
2024-11-03,NETFLIX SUBSCRIPTION,-15.49
2024-11-04,WALMART SUPERCENTER,-91.32
2024-11-05,SHELL GAS STATION,-48.17
2024-11-06,STARBUCKS COFFEE,-6.45
2024-11-07,MCDONALDS,-9.12
2024-11-08,AMAZON PURCHASE,-34.99
2024-11-09,SPOTIFY PREMIUM,-9.99
2024-11-10,HEB GROCERY,-112.54
2024-11-11,STARBUCKS COFFEE,-5.90
2024-11-12,CHIPOTLE RESTAURANT,-13.75
2024-11-13,COMCAST INTERNET,-79.99
2024-11-14,SHELL GAS STATION,-51.20
2024-11-15,TARGET STORE,-68.41
2024-11-16,PLANET FITNESS GYM,-24.99
2024-11-17,STARBUCKS COFFEE,-6.15
2024-11-18,DOMINOS PIZZA,-22.47
2024-11-19,AMAZON PURCHASE,-19.95
2024-11-20,CHEVRON GAS,-44.80
2024-11-21,HEB GROCERY,-93.67
2024-11-22,CHICK-FIL-A,-11.38
2024-11-23,APPLE MUSIC,-10.99
2024-11-24,WALMART SUPERCENTER,-61.25
2024-11-25,STARBUCKS COFFEE,-6.75
2024-11-26,ELECTRIC BILL CITY UTILITIES,-118.44
2024-11-27,WENDYS,-8.50
2024-11-28,RAISING CANES,-14.20
2024-11-29,DOORDASH ORDER,-28.75
2024-11-30,DISCORD NITRO,-9.99
2024-12-01,DIRECT DEPOSIT PAYROLL ACME CORP,2850.00
2024-12-02,NETFLIX SUBSCRIPTION,-15.49
2024-12-03,SHELL GAS STATION,-49.60
2024-12-04,STARBUCKS COFFEE,-6.45
2024-12-05,HEB GROCERY,-104.21
2024-12-06,MCDONALDS,-8.50
2024-12-07,AMAZON PURCHASE,-127.48
2024-12-08,SPOTIFY PREMIUM,-9.99
2024-12-09,TARGET STORE,-45.90
2024-12-10,STARBUCKS COFFEE,-7.20
2024-12-11,OLIVE GARDEN RESTAURANT,-78.34
2024-12-12,CHEVRON GAS,-52.10
2024-12-13,BEST BUY ELECTRONICS,-249.99
2024-12-14,PLANET FITNESS GYM,-24.99
2024-12-15,COMCAST INTERNET,-79.99
2024-12-16,HEB GROCERY,-88.15
2024-12-17,CHICK-FIL-A,-12.85
2024-12-18,APPLE MUSIC,-10.99
2024-12-19,WALMART SUPERCENTER,-54.78
2024-12-20,STARBUCKS COFFEE,-5.90
2024-12-21,AMAZON PURCHASE,-89.99
2024-12-22,ELECTRIC BILL CITY UTILITIES,-105.30
2024-12-23,SHELL GAS STATION,-46.75
2024-12-24,WINGSTOP,-41.99
2024-12-25,OPENAI CHATGPT SUBSCR,-20.00
2024-12-26,IN-N-OUT WACO,-21.00
2024-12-27,STARBUCKS COFFEE,-6.45
2024-12-28,DISCORD NITRO,-9.99
2024-12-29,RAISING CANES,-15.75
2024-12-30,DOORDASH ORDER,-31.50
2025-01-01,DIRECT DEPOSIT PAYROLL ACME CORP,2850.00
2025-01-01,TAX REFUND IRS,940.00
2025-01-02,NETFLIX SUBSCRIPTION,-15.49
2025-01-03,HEB GROCERY,-99.43
2025-01-04,STARBUCKS COFFEE,-6.90
2025-01-05,SHELL GAS STATION,-50.40
2025-01-06,MCDONALDS,-10.25
2025-01-07,AMAZON PURCHASE,-56.79
2025-01-08,SPOTIFY PREMIUM,-9.99
2025-01-09,TARGET STORE,-82.34
2025-01-10,STARBUCKS COFFEE,-6.45
2025-01-11,PLANET FITNESS GYM,-24.99
2025-01-12,CHIPOTLE RESTAURANT,-14.50
2025-01-13,CHEVRON GAS,-48.90
2025-01-14,COMCAST INTERNET,-79.99
2025-01-15,HEB GROCERY,-117.88
2025-01-16,APPLE MUSIC,-10.99
2025-01-17,STARBUCKS COFFEE,-7.15
2025-01-18,WALMART SUPERCENTER,-74.62
2025-01-19,DOORDASH ORDER,-28.75
2025-01-20,ELECTRIC BILL CITY UTILITIES,-95.17
2025-01-21,CHICK-FIL-A,-11.95
2025-01-22,SHELL GAS STATION,-53.20
2025-01-23,AMAZON PURCHASE,-18.49
2025-01-24,STARBUCKS COFFEE,-6.45
2025-01-25,WENDYS,-9.75
2025-01-26,HEB GROCERY,-91.20
2025-01-27,DISCORD NITRO,-9.99
2025-01-28,STARBUCKS COFFEE,-5.75
2025-01-29,CHEVRON GAS,-47.30
2025-01-30,OPENAI CHATGPT SUBSCR,-20.00
2025-01-31,RAISING CANES,-13.40
